,Name,Team,ERA,FIP,WAR,Fantasy PTS
1217,Steve Johnson,,4.65,4.71,0.0,20.0
1218,Kyle Winkler,,4.63,4.71,0.0,20.0
1219,Sterling Sharp,Nationals,4.66,4.71,0.0,20.0
1220,Adam Bray,Twins,4.66,4.71,0.0,20.0
1221,Bobby Korecky,,4.67,4.71,0.0,20.0
1222,Jacob Turner,,4.71,4.71,0.0,20.0
1223,Cody Hall,,4.63,4.71,0.0,19.0
1224,Evan Phillips,Orioles,4.59,4.71,0.0,89.0
1225,Bud Jeter,Diamondbacks,4.71,4.71,0.0,19.0
1226,Jeff Francis,,4.63,4.71,0.0,20.0
1227,Nick Sarianides,,4.66,4.71,0.0,20.0
1228,Scooter Hightower,Pirates,4.82,4.71,0.0,20.0
1229,Brian Duensing,Cubs,4.53,4.71,-0.2,81.0
1230,Andrew Bailey,,4.69,4.71,0.0,20.0
1231,Mason Melotakis,,4.52,4.71,0.0,20.0
1232,Greg Belton,,4.63,4.71,0.0,20.0
1233,Garrett Cleavinger,Phillies,4.44,4.71,0.0,22.0
1234,Patrick Sandoval,Angels,4.42,4.71,0.0,23.0
1235,Ricardo Sanchez,Braves,4.5,4.72,-0.1,35.0
1236,Garrett Nuss,Angels,4.49,4.72,0.0,23.0
1237,John Lackey,,4.86,4.72,0.0,20.0
1238,Bryan Morris,,4.61,4.72,0.0,20.0
1239,Wil Browning,Blue Jays,4.67,4.72,0.0,20.0
1240,David Bednar,Padres,4.57,4.72,0.0,19.0
1241,Chris Perry,Cardinals,4.57,4.72,0.0,19.0
1242,Scott Feldman,,4.87,4.72,0.0,20.0
1243,Carlos Rodon,White Sox,4.71,4.72,1.5,314.0
1244,David Rollins,,4.57,4.72,0.0,20.0
1245,Thomas Lee,,4.71,4.72,0.0,20.0
1246,John Schreiber,Tigers,4.71,4.72,0.0,20.0
1247,Daniel Castano,Marlins,4.54,4.72,0.0,20.0
1248,Cal Quantrill,Padres,4.7,4.72,0.0,20.0
1249,Frank Herrmann,,4.7,4.72,0.0,20.0
1250,David Carpenter,Diamondbacks,4.82,4.72,0.0,20.0
1251,Devin Burke,,4.73,4.72,0.0,20.0
1252,Kanekoa Texeira,Braves,4.68,4.72,0.0,20.0
1253,Evan Mitchell,,4.65,4.72,0.0,20.0
1254,Gabriel Ynoa,Orioles,4.72,4.72,0.0,57.0
1255,Clay Buchholz,,4.73,4.72,1.0,285.0
1256,Carlos Fisher,,4.61,4.72,0.0,19.0
1257,Matt Magill,Twins,4.69,4.72,0.0,96.0
1258,Jorge Lopez,Royals,4.71,4.72,0.0,85.0
1259,Locke St. John,Rangers,4.52,4.72,0.0,20.0
1260,Kyle Bartsch,Royals,4.58,4.73,0.0,20.0
1261,Felix Hernandez,Mariners,4.78,4.73,0.8,183.0
1262,Jon Perrin,Royals,4.68,4.73,0.0,20.0
1263,Julian Merryweather,Blue Jays,4.8,4.73,0.5,118.0
1264,Kyle Schepel,,4.65,4.73,0.0,20.0
1265,Luke Eubank,Indians,4.61,4.73,0.0,20.0
1266,Randy Wolf,,4.7,4.73,0.0,20.0
1267,Logan Taylor,,4.66,4.73,0.0,20.0
1268,Johnny Barbato,,4.66,4.73,0.0,20.0
1269,Tom Windle,Phillies,4.47,4.73,0.0,22.0
1270,Sam Street,,4.65,4.73,0.0,20.0
1271,Shane McCain,,4.58,4.73,0.0,20.0
1272,Matt Harvey,,4.78,4.73,1.0,238.0
1273,Chad Girodo,,4.57,4.73,0.0,20.0
1274,Robert Zarate,Indians,4.53,4.73,0.0,20.0
1275,Frank Garces,,4.6,4.73,0.0,20.0
1276,Gonzalo Sanudo,Astros,4.69,4.73,0.0,20.0
1277,Robbie Aviles,,4.67,4.73,0.0,20.0
1278,Mike Connolly,Giants,4.62,4.73,0.0,20.0
1279,Connor Seabold,Phillies,4.69,4.74,0.0,20.0
1280,Jim Henderson,,4.73,4.74,0.0,20.0
1281,Paul Blackburn,Athletics,4.75,4.74,0.2,43.0
1282,Tyson Perez,Astros,4.7,4.74,0.0,20.0
1283,John Walter,Cardinals,4.76,4.74,0.0,20.0
1284,Tim Shibuya,,4.75,4.74,0.0,20.0
1285,David Richardson,Orioles,4.71,4.74,0.0,20.0
1286,Rob Scahill,White Sox,4.66,4.74,0.0,20.0
1287,David Speer,Indians,4.56,4.74,0.0,20.0
1288,Tyler Watson,,4.56,4.74,0.0,20.0
1289,Wilfredo Boscan,,4.72,4.74,0.0,20.0
1290,Albert Minnis,Astros,4.56,4.74,0.0,20.0
1291,Casey Fien,,4.72,4.74,0.0,20.0
1292,Tanner Scheppers,,4.64,4.74,0.0,20.0
1293,Pat McCoy,,4.52,4.74,0.0,19.0
1294,Tom Gorzelanny,,4.54,4.74,0.0,19.0
1295,Robby Rowland,,4.8,4.74,0.0,20.0
1296,Kevin Siegrist,,4.55,4.74,0.0,20.0
1297,Jose Ramirez,,4.7,4.74,0.0,19.0
1298,Scott Carroll,,4.67,4.74,0.0,20.0
1299,Nick Masset,Braves,4.72,4.75,0.0,20.0
1300,Danny Young,Blue Jays,4.59,4.75,0.0,20.0
1301,Brad Markey,Cubs,4.71,4.75,0.0,20.0
1302,Sean Donatello,,4.7,4.75,0.0,20.0
1303,Austin Sexton,Cardinals,4.63,4.75,0.0,20.0
1304,Tyler Wilson,,4.75,4.75,0.0,20.0
1305,Jesus Liranzo,Pirates,4.68,4.75,-0.1,60.0
1306,Javier Lopez,,4.55,4.75,0.0,20.0
1307,Ryan Kelly,,4.68,4.75,0.0,20.0
1308,Jean Machi,Mariners,4.65,4.75,0.0,20.0
1309,Nick Margevicius,Padres,4.68,4.75,0.0,20.0
1310,Rob Wort,,4.71,4.75,0.0,20.0
1311,Michel Baez,Padres,4.75,4.75,0.0,20.0
1312,Fernando Romero,Twins,4.76,4.75,0.4,75.0
1313,Justin Topa,,4.79,4.75,0.0,20.0
1314,Justin Wright,,4.5,4.75,0.0,19.0
1315,Cole Irvin,Phillies,4.68,4.75,0.0,20.0
1316,Tyler Mahle,Reds,4.72,4.75,0.9,257.0
1317,Chase Whitley,,4.72,4.75,0.0,20.0
1318,Alex Burgos,,4.57,4.76,0.0,20.0
1319,Jerad Eickhoff,Phillies,4.82,4.76,0.0,28.0
1320,Juan Gonzalez,,4.67,4.76,0.0,19.0
1321,Jon Fitzsimmons,,4.68,4.76,0.0,20.0
1322,Jeff Ferrell,Orioles,4.68,4.76,0.0,20.0
1323,Justin Dunn,Mets,4.73,4.76,0.0,20.0
1324,Felix Pena,Angels,4.64,4.76,0.7,259.0
1325,Matt Peacock,Diamondbacks,4.86,4.76,0.0,20.0
1326,Aaron Sanchez,Blue Jays,4.83,4.76,1.0,239.0
1327,Jeremy Hefner,Cardinals,4.78,4.76,0.0,20.0
1328,Colton Thomson,,4.54,4.76,0.0,20.0
1329,Vinnie Pestano,,4.74,4.76,0.0,20.0
1330,Bryan Mitchell,Padres,4.79,4.76,0.2,92.0
1331,William Cuevas,,4.54,4.76,0.0,20.0
1332,Parker Dunshee,Athletics,4.71,4.76,0.0,20.0
1333,Ben Holmes,Dodgers,4.5,4.76,0.0,20.0
1334,Colton Turner,White Sox,4.56,4.76,0.0,20.0
1335,Lucas Sims,Reds,4.65,4.76,0.5,149.0
1336,Hobbs Johnson,,4.58,4.76,0.0,19.0
1337,Christian Friedrich,Padres,4.72,4.77,0.0,20.0
1338,Bobby Bundy,,4.73,4.77,0.0,20.0
1339,Arnold Leon,Blue Jays,4.78,4.77,0.0,20.0
1340,Yimmi Brasoban,,4.65,4.77,0.0,20.0
1341,Jose Valdespina,,4.68,4.77,0.0,20.0
1342,Travis Ott,Rays,4.46,4.77,0.0,22.0
1343,Madison Younginer,,4.6,4.77,0.0,19.0
1344,John Gorman,Athletics,4.7,4.77,0.0,20.0
1345,Caleb Frare,White Sox,4.45,4.77,-0.1,116.0
1346,Jordan Milbrath,Indians,4.57,4.77,0.0,19.0
1347,Ryan Mattheus,,4.81,4.77,0.0,20.0
1348,Brandon Alger,,4.56,4.77,0.0,19.0
1349,Dustin McGowan,Rays,4.6,4.77,0.0,20.0
1350,Jake Thompson,,4.69,4.77,0.0,20.0
1351,Brett Lee,,4.6,4.77,0.0,20.0
1352,Bobby Poyner,Red Sox,4.52,4.77,-0.1,107.0
1353,Matt Krook,Rays,4.32,4.77,0.0,22.0
1354,Robert Dugger,Marlins,4.71,4.77,0.0,20.0
1355,Scott Lyman,,4.71,4.77,0.0,20.0
1356,Cortland Cox,,4.7,4.77,0.0,20.0
1357,J.B. Bukauskas,Astros,4.79,4.77,0.3,76.0
1358,Ian Clarkin,Cubs,4.55,4.77,-0.1,35.0
1359,Tyson Ross,,4.85,4.77,0.5,145.0
1360,Hector Perez,Blue Jays,4.63,4.77,-0.1,59.0
1361,Dylan Cease,White Sox,4.7,4.77,0.4,100.0
1362,Cole Johnson,,4.82,4.78,0.0,20.0
1363,Mike Broadway,,4.69,4.78,0.0,20.0
1364,Seth McGarry,Phillies,4.64,4.78,0.0,19.0
1365,Justus Sheffield,Mariners,4.61,4.78,0.6,259.0
1366,Matt Reynolds,,4.6,4.78,0.0,20.0
1367,Brian Clark,White Sox,4.59,4.78,0.0,20.0
1368,Osmer Morales,,4.66,4.78,0.0,20.0
1369,Asher Wojciechowski,,4.72,4.78,0.0,20.0
1370,Raul Fernandez,,4.66,4.78,0.0,20.0
1371,Justin Masterson,,4.7,4.78,0.0,20.0
1372,Scott Barlow,Royals,4.71,4.78,0.1,55.0
1373,John Kuchno,,4.7,4.78,0.0,20.0
1374,Carlos Portuondo,,4.73,4.78,0.0,20.0
1375,Sandy Alcantara,Marlins,4.61,4.78,0.3,108.0
1376,Miguel Del Pozo,,4.58,4.78,0.0,20.0
1377,Matt Walker,Mariners,4.61,4.78,0.0,20.0
1378,Michael Boyle,Dodgers,4.48,4.79,0.0,23.0
1379,Brandon Waddell,Pirates,4.74,4.79,0.0,20.0
1380,Jacob Dorris,,4.63,4.79,0.0,20.0
1381,Nate Adcock,,4.79,4.79,0.0,20.0
1382,Brendan Feldmann,Astros,4.7,4.79,0.0,20.0
1383,Lukas Schiraldi,Marlins,4.46,4.79,0.0,22.0
1384,Jeremy Rhoades,Angels,4.54,4.79,0.0,20.0
1385,Tyler Higgins,,4.73,4.79,0.0,20.0
1386,Stephen Peterson,Brewers,4.59,4.79,0.0,20.0
1387,Christian James,Mets,4.8,4.79,0.0,20.0
1388,Michael O'Neal,Brewers,4.65,4.79,0.0,20.0
1389,Alex Cobb,Orioles,4.91,4.79,1.6,275.0
1390,Blake Smith,White Sox,4.7,4.79,0.0,20.0
1391,Tyler Eppler,Pirates,4.9,4.79,0.0,20.0
1392,John Stilson,,4.7,4.79,0.0,20.0
1393,Neftali Feliz,,4.65,4.79,0.0,20.0
1394,Adalberto Mejia,Twins,4.73,4.79,0.9,187.0
1395,Dillon Peters,Angels,4.5,4.79,0.1,31.0
1396,Deck McGuire,Angels,4.58,4.79,0.0,20.0
1397,Erasmo Ramirez,,4.84,4.79,0.6,151.0
1398,Taylor Lewis,,4.72,4.79,0.0,20.0
1399,Rafael Betancourt,,4.83,4.79,0.0,20.0
1400,Parker Curry,Dodgers,4.66,4.79,0.0,20.0
1401,Michael King,Yankees,4.7,4.8,0.0,20.0
1402,Matt Lollis,,4.69,4.8,0.0,19.0
1403,Alberto Baldonado,,4.51,4.8,0.0,19.0
1404,Kirby Bellow,Diamondbacks,4.6,4.8,0.0,19.0
1405,Branden Pinder,,4.7,4.8,0.0,20.0
1406,JC Ramirez,Angels,4.72,4.8,0.1,44.0
1407,Ramon Santos,Cardinals,4.67,4.8,0.0,20.0
1408,David Sosebee,Yankees,4.63,4.8,0.0,20.0
1409,Mayckol Guaipe,Mariners,4.71,4.8,0.0,20.0
1410,Merandy Gonzalez,Marlins,4.65,4.8,-0.2,82.0
1411,Isaac Anderson,Dodgers,4.69,4.8,0.0,20.0
1412,Brandon Peterson,,4.68,4.8,0.0,19.0
1413,Tyler Danish,,4.74,4.8,0.0,20.0
1414,Jeff Walters,Rays,4.66,4.8,0.0,20.0
1415,Geoff Broussard,,4.73,4.8,0.0,20.0
1416,Stephen Fife,,4.81,4.8,0.0,20.0
1417,Matt Marksberry,,4.6,4.8,0.0,20.0
1418,Keegan Long,,4.73,4.8,0.0,20.0
1419,Michael Lorenzen,Reds,4.8,4.8,0.3,134.0
1420,John Curtiss,Twins,4.68,4.8,-0.1,74.0
1421,Barry Enright,Diamondbacks,4.91,4.8,0.0,20.0
1422,Chih-Wei Hu,Indians,4.71,4.8,0.1,50.0
1423,Sal Romano,Reds,4.83,4.8,0.6,148.0
1424,Raudel Lazo,,4.65,4.8,0.0,20.0
1425,Wade LeBlanc,Mariners,4.7,4.8,0.8,268.0
1426,Brooks Brown,,4.77,4.81,0.0,20.0
1427,Jack Leathersich,,4.53,4.81,0.0,19.0
1428,Kyle Martin,,4.64,4.81,0.0,20.0
1429,Pat Krall,Athletics,4.64,4.81,0.0,20.0
1430,Ismael Guillon,,4.56,4.81,0.0,19.0
1431,Carlos Hernandez,Rockies,4.92,4.81,0.0,20.0
1432,Matthew Boyd,Tigers,4.79,4.81,1.4,317.0
1433,Mitch Horacek,Rockies,4.76,4.81,0.0,20.0
1434,Sam Runion,,4.78,4.81,0.0,20.0
1435,Brian Howard,Athletics,4.74,4.81,0.0,20.0
1436,Pedro Rodriguez,,4.74,4.81,0.0,20.0
1437,Chris Powell,,4.75,4.81,0.0,20.0
1438,Adam Loewen,,4.45,4.81,0.0,22.0
1439,Luis Diaz,Angels,4.62,4.81,0.0,20.0
1440,Garrett Williams,Giants,4.45,4.81,0.0,22.0
1441,Reed Garrett,Rangers,4.74,4.81,0.0,20.0
1442,Carlos Frias,,4.74,4.81,0.0,20.0
1443,Kevin McGowan,,4.69,4.81,0.0,20.0
1444,Andy Ferguson,Royals,4.86,4.81,0.0,20.0
1445,Danny Barnes,Blue Jays,4.83,4.81,-0.1,105.0
1446,Matt Eckelman,Pirates,4.83,4.81,0.0,20.0
1447,Zach Lee,,4.81,4.81,0.0,20.0
1448,Nick Pasquale,,4.71,4.81,0.0,20.0
1449,Henry Hirsch,,4.74,4.81,0.0,20.0
1450,Tyler Thornburg,Red Sox,4.8,4.81,-0.1,124.0
1451,Joe Zanghi,Mets,4.71,4.81,0.0,20.0
1452,Drew Smyly,Rangers,4.76,4.81,1.1,247.0
1453,Drew Pomeranz,,4.73,4.81,0.7,240.0
1454,Joe Harvey,Yankees,4.64,4.81,0.0,50.0
1455,Phillippe Aumont,,4.78,4.81,0.0,20.0
1456,Dylan Baker,,4.77,4.81,0.0,20.0
1457,Mark Lowe,,4.72,4.81,0.0,20.0
1458,Juan Santos,Astros,4.76,4.81,0.0,19.0
1459,Justin Ferrell,Astros,4.71,4.81,0.0,20.0
1460,Tate Scioneaux,Pirates,4.87,4.82,0.0,20.0
1461,Tommy Shirley,,4.67,4.82,0.0,20.0
1462,Taylor Guilbeau,Nationals,4.59,4.82,0.0,20.0
1463,Hisashi Iwakuma,,4.86,4.82,0.0,20.0
1464,Gus Schlosser,,4.77,4.82,0.0,20.0
1465,Nate Reed,,4.72,4.82,0.0,20.0
1466,Eric Skoglund,Royals,4.79,4.82,0.5,179.0
1467,Alex Balog,,4.78,4.82,0.0,20.0
1468,Jairo Labourt,,4.5,4.82,0.0,22.0
1469,Andrew Sopko,Dodgers,4.66,4.82,0.0,20.0
1470,Louis Coleman,,4.65,4.82,0.0,20.0
1471,Ronnie Shaban,,4.75,4.82,0.0,20.0
1472,Dylan Bundy,Orioles,4.9,4.82,1.5,342.0
1473,Ryan Hendrix,Reds,4.61,4.82,0.0,19.0
1474,Domingo Tapia,,4.79,4.82,0.0,20.0
1475,Ben Krauth,Indians,4.51,4.82,0.0,19.0
1476,Anthony Shew,Cardinals,4.76,4.82,0.0,20.0
1477,Miguel Mejia,Cubs,4.76,4.82,0.0,20.0
1478,Caleb Thielbar,Tigers,4.79,4.82,0.0,20.0
1479,Matthew Kent,Red Sox,4.74,4.82,0.0,20.0
1480,Sven Schueller,Dodgers,4.62,4.83,0.0,20.0
1481,Austin Hutchison,Mariners,4.77,4.83,0.0,20.0
1482,Eddie Butler,,4.8,4.83,0.0,20.0
1483,Tyler Beede,Giants,4.61,4.83,0.1,52.0
1484,Brian Matusz,,4.67,4.83,0.0,20.0
1485,Felix Jorge,,4.82,4.83,0.0,20.0
1486,Matt Ball,Angels,4.7,4.83,0.0,20.0
1487,Keegan Yuhl,,4.81,4.83,0.0,20.0
1488,Daniel Poncedeleon,Cardinals,4.66,4.83,0.1,52.0
1489,Josh Roenicke,,4.8,4.83,0.0,20.0
1490,Cesar Ramos,,4.76,4.83,0.0,20.0
1491,John Anderson,,4.74,4.83,0.0,20.0
1492,Kyle McMyne,,4.74,4.83,0.0,19.0
1493,Brian Ellington,,4.65,4.83,0.0,19.0
1494,Matt Tenuta,Mariners,4.57,4.84,0.0,20.0
1495,Heath Slatton,Giants,4.66,4.84,0.0,19.0
1496,Terry Doyle,,4.87,4.84,0.0,20.0
1497,Casey Lawrence,Mariners,4.85,4.84,0.1,67.0
1498,John Straka,,4.89,4.84,0.0,20.0
1499,Eduardo Paredes,,4.74,4.84,0.0,20.0
1500,Scott Griggs,Rockies,4.91,4.84,0.0,19.0
1501,Tom Koehler,,4.86,4.84,0.0,20.0
1502,Clayton Cook,,4.74,4.84,0.0,19.0
1503,Pat Dean,,4.73,4.84,0.0,20.0
1504,Jose Molina,,4.67,4.84,0.0,20.0
1505,Jacob Nix,Padres,4.9,4.84,0.1,51.0
1506,Zack Weiss,Twins,4.76,4.84,0.0,19.0
1507,Matt Pobereyko,Mets,4.71,4.84,0.0,19.0
1508,Tom Wilhelmsen,,4.82,4.84,0.0,20.0
1509,Ryan Meisinger,Orioles,4.81,4.84,0.0,36.0
1510,Rodolfo Martinez,Giants,4.66,4.84,0.0,19.0
1511,Eric Carter,,4.74,4.84,0.0,20.0
1512,Austin House,,4.73,4.84,0.0,20.0
1513,Chris Mazza,Mariners,4.76,4.84,0.0,20.0
1514,Donovan Hand,,4.81,4.84,0.0,20.0
1515,Trevor Lane,Yankees,4.6,4.84,0.0,20.0
1516,Brady Feigl,Rangers,4.67,4.84,0.0,20.0
1517,Carlos Villanueva,,4.81,4.84,0.0,20.0
1518,Walker Lockett,Indians,4.8,4.84,0.1,31.0
1519,Aaron West,,4.78,4.84,0.0,20.0
1520,Casey Kelly,,4.8,4.84,0.0,20.0
1521,Joel Kuhnel,Reds,4.74,4.84,0.0,20.0
1522,Kyle Muller,Braves,4.69,4.84,0.0,20.0
1523,Cody Ege,,4.62,4.85,0.0,20.0
1524,Kevin Hill,,4.73,4.85,0.0,20.0
1525,Art Warren,Mariners,4.66,4.85,-0.1,35.0
1526,Abel De Los Santos,Reds,4.7,4.85,0.0,20.0
1527,Simon Mathews,Angels,4.67,4.85,0.0,20.0
1528,Nick Tropeano,Angels,4.67,4.85,0.6,212.0
1529,Ryan Borucki,Blue Jays,4.88,4.85,0.9,225.0
1530,Jeff Beliveau,,4.65,4.85,0.0,19.0
1531,Julio Teheran,Braves,4.81,4.85,0.6,286.0
1532,Chris Flexen,Mets,4.82,4.85,0.2,54.0
1533,Nate Fury,,4.76,4.85,0.0,19.0
1534,Chi Chi Gonzalez,,4.86,4.85,0.0,20.0
1535,Jose Ruiz,White Sox,4.67,4.85,0.0,69.0
1536,Aaron Laffey,Rockies,4.92,4.85,0.0,20.0
1537,Trent Szkutnik,Tigers,4.71,4.85,0.0,20.0
1538,Ranger Suarez,Phillies,4.72,4.85,0.0,25.0
1539,Jeff Locke,,4.82,4.85,0.0,20.0
1540,Jake Faria,Rays,4.73,4.85,0.2,76.0
1541,Jimmy Reyes,,4.7,4.85,0.0,20.0
1542,Jacob Shortslef,Rangers,4.78,4.85,0.0,20.0
1543,Kris Medlen,Diamondbacks,4.92,4.85,0.0,20.0
1544,Joel Peralta,,4.81,4.85,0.0,20.0
1545,Gabe Speier,Royals,4.66,4.85,0.0,20.0
1546,Luis Heredia,,4.7,4.86,0.0,19.0
1547,Sean Keselica,Pirates,4.7,4.86,0.0,19.0
1548,Jefri Hernandez,,4.77,4.86,0.0,20.0
1549,Jayson Aquino,,4.71,4.86,0.0,20.0
1550,R.A. Dickey,,4.73,4.86,0.0,20.0
1551,Daniel Mengden,Athletics,4.87,4.86,0.6,234.0
1552,Michael Johnson,Dodgers,4.61,4.86,0.0,20.0
1553,Ross Detwiler,,4.72,4.86,0.0,20.0
1554,Brandon Finnegan,Reds,4.76,4.86,-0.1,67.0
1555,Adam Hofacket,Angels,4.64,4.86,0.0,20.0
1556,Gerardo Concepcion,,4.68,4.86,0.0,20.0
1557,Bryan Evans,,4.87,4.86,0.0,20.0
1558,Branden Kline,Orioles,4.85,4.86,0.0,36.0
1559,Arcenio Leon,Tigers,4.82,4.86,0.0,20.0
1560,Collin Balester,,4.86,4.86,0.0,20.0
1561,Parker Bridwell,Angels,4.67,4.86,0.0,20.0
1562,Justin Hoyt,,4.7,4.86,0.0,19.0
1563,Jacob Evans,,4.67,4.86,0.0,20.0
1564,Kevin Canelon,,4.68,4.86,0.0,20.0
1565,Dylan Covey,White Sox,4.94,4.86,0.7,199.0
1566,Wei-Chieh Huang,Rangers,4.75,4.86,0.0,35.0
1567,Michael Roth,,4.7,4.86,0.0,20.0
1568,Brandon Mann,,4.64,4.87,0.0,20.0
1569,Wandy Rodriguez,,4.85,4.87,0.0,20.0
1570,Max Povse,Mariners,4.77,4.87,0.2,74.0
1571,Keith Hessler,,4.69,4.87,0.0,19.0
1572,Ross Ohlendorf,,4.82,4.87,0.0,20.0
1573,John Lamb,,4.76,4.87,0.0,20.0
1574,Alejandro Chacin,,4.72,4.87,0.0,20.0
1575,Alex Wimmers,,4.75,4.87,0.0,20.0
1576,Elieser Hernandez,Marlins,4.73,4.87,-0.1,71.0
1577,Joe Cavallaro,Mets,4.81,4.87,0.0,20.0
1578,Michael Rucker,Cubs,4.86,4.87,0.0,20.0
1579,Ryan Bollinger,,4.82,4.87,0.0,20.0
1580,Addison Reed,Twins,4.91,4.87,-0.1,147.0
1581,Derek Self,Nationals,4.8,4.87,0.0,20.0
1582,Heath Fillmyer,Royals,4.82,4.87,0.0,99.0
1583,Jack Snodgrass,,4.75,4.87,0.0,20.0
1584,Juan Martinez,Reds,4.64,4.87,0.0,19.0
1585,Reiver Sanmartin,Yankees,4.72,4.87,0.0,20.0
1586,Kolby Allard,Braves,4.76,4.87,0.1,46.0
1587,Dauris Valdez,Padres,4.67,4.87,0.0,19.0
1588,Landon Beck,Cardinals,4.68,4.87,0.0,20.0
1589,Thomas Dorminy,,4.68,4.87,0.0,20.0
1590,Craig Brooks,Cubs,4.67,4.87,0.0,19.0
1591,Jack Anderson,Mariners,4.66,4.87,0.0,19.0
1592,Erasmo Pinales,Astros,4.72,4.88,0.0,19.0
1593,Robinson Leyer,,4.75,4.88,0.0,19.0
1594,Thyago Vieira,White Sox,4.73,4.88,-0.2,93.0
1595,Cam Hill,Indians,4.78,4.88,0.0,20.0
1596,Joseph Colon,Indians,4.74,4.88,0.0,20.0
1597,Jason Alexander,Angels,4.71,4.88,0.0,20.0
1598,Jeff Brigham,Marlins,4.78,4.88,0.0,48.0
1599,Jean Carlos Mejia,Indians,4.71,4.88,0.0,36.0
1600,Dietrich Enns,,4.68,4.88,0.0,20.0
1601,Jonah Wesely,Angels,4.44,4.88,0.0,22.0
1602,Anthony Vasquez,Diamondbacks,4.85,4.88,0.0,20.0
1603,Harrison Musgrave,Rockies,4.95,4.88,-0.1,59.0
1604,Ernesto Frieri,,4.79,4.88,0.0,19.0
1605,Adam Parks,Rangers,4.81,4.88,0.0,20.0
1606,Edward Mujica,,4.81,4.88,0.0,20.0
1607,Mario Hollands,,4.71,4.88,0.0,19.0
1608,R.C. Orlan,Indians,4.61,4.88,0.0,19.0
1609,John Omahen,Diamondbacks,5.03,4.88,0.0,20.0
1610,Jake McCasland,Giants,4.76,4.89,0.0,20.0
1611,Kyle Smith,,4.86,4.89,0.0,20.0
1612,Elih Villanueva,Red Sox,5.01,4.89,0.0,20.0
1613,Shawn Morimando,Blue Jays,4.81,4.89,0.0,20.0
1614,Kevin Lenik,Royals,4.79,4.89,0.0,20.0
1615,Jake Newberry,Royals,4.8,4.89,-0.1,69.0
1616,Alejandro Mateo,Marlins,4.69,4.89,0.0,19.0
1617,Justin De Fratus,,4.81,4.89,0.0,20.0
1618,Andre Scrubb,Dodgers,4.6,4.89,0.0,19.0
1619,Roman Mendez,,4.74,4.89,0.0,20.0
1620,Austin Warner,Cardinals,4.73,4.89,0.0,20.0
1621,Ralston Cash,,4.76,4.89,0.0,19.0
1622,Daniel Norris,Tigers,4.94,4.89,0.9,214.0
1623,Jason Urquidez,,4.76,4.89,0.0,20.0
1624,Victor Payano,Reds,4.62,4.89,0.0,19.0
1625,Steve Ascher,,4.69,4.89,0.0,20.0
1626,Matt Hall,Tigers,4.81,4.89,0.3,91.0
1627,Justin Kelly,Braves,4.64,4.89,0.0,19.0
1628,Stephen Johnson,,4.82,4.89,0.0,20.0
1629,Josh Tomlin,,4.97,4.89,0.4,150.0
1630,Chad Smith,Marlins,4.6,4.89,0.0,19.0
1631,Blaine Boyer,,4.88,4.9,0.0,20.0
1632,Dan Straily,Marlins,4.81,4.9,0.5,274.0
1633,Aaron Civale,Indians,4.86,4.9,0.0,20.0
1634,Chris Beck,,4.81,4.9,0.0,20.0
1635,Felipe Gonzalez,Marlins,4.74,4.9,0.0,20.0
1636,Jose Flores,,4.88,4.9,0.0,20.0
1637,Brad Schreiber,Rockies,5.02,4.9,0.0,19.0
1638,C.D. Pelham,Rangers,4.65,4.9,-0.1,72.0
1639,David Perez,,4.79,4.9,0.0,19.0
1640,Cole Wiper,Rangers,4.82,4.9,0.0,20.0
1641,Jeff Kinley,Marlins,4.55,4.9,0.0,19.0
1642,Raul Alcantara,,4.87,4.9,0.0,20.0
1643,Jason Richman,,4.66,4.9,0.0,20.0
1644,Daniel Procopio,Angels,4.61,4.9,0.0,19.0
1645,Mark Buehrle,,4.82,4.9,0.0,20.0
1646,Brian Holmes,,4.76,4.9,0.0,20.0
1647,Horacio Ramirez,,4.76,4.9,0.0,19.0
1648,Nick Hernandez,Astros,4.8,4.9,0.0,20.0
1649,Jaron Long,,4.92,4.91,0.0,20.0
1650,Stolmy Pimentel,,4.82,4.91,0.0,20.0
1651,Shaun Marcum,,4.92,4.91,0.0,20.0
1652,Brady Dragmire,,4.91,4.91,0.0,20.0
1653,Carlos Ramirez,,4.77,4.91,0.0,19.0
1654,Andre Wheeler,,4.73,4.91,0.0,19.0
1655,Connor Jones,Cardinals,4.76,4.91,0.0,19.0
1656,Ryan Burr,White Sox,4.75,4.91,-0.1,67.0
1657,Cody Stull,Athletics,4.69,4.91,0.0,20.0
1658,Myles Jaye,,4.88,4.91,0.0,20.0
1659,Chris Lee,Orioles,4.72,4.91,0.0,33.0
1660,Mike Wright,Orioles,4.89,4.91,0.0,96.0
1661,Matt Gage,,4.73,4.91,0.0,20.0
1662,Kyle Kubat,White Sox,4.8,4.91,0.0,20.0
1663,Beck Wheeler,,4.83,4.91,0.0,19.0
1664,Chad Gaudin,,4.81,4.91,0.0,19.0
1665,John Lannan,Nationals,4.72,4.91,0.0,20.0
1666,Drew Hutchison,,4.93,4.91,0.0,20.0
1667,Jason Hammel,,5.03,4.91,0.4,150.0
1668,Confesor Lara,,4.85,4.91,0.0,20.0
1669,Alex Young,Diamondbacks,4.87,4.92,0.0,20.0
1670,Thomas Jankins,Brewers,4.91,4.92,0.0,20.0
1671,Tim Stauffer,,4.88,4.92,0.0,20.0
1672,Joe Wieland,,4.96,4.92,0.0,20.0
