,Name,Team,ERA,FIP,WAR,Fantasy PTS
103,JT Chargois,Dodgers,3.6,3.72,0.2,116.0
104,Rich Hill,Dodgers,3.62,3.72,2.8,476.0
105,C.C. Lee,,3.7,3.73,0.0,23.0
106,Pedro Strop,Cubs,3.65,3.73,0.5,213.0
107,Hyun-Jin Ryu,Dodgers,3.68,3.73,2.0,360.0
108,Sam Dyson,Giants,3.66,3.73,0.2,159.0
109,Zack Greinke,Diamondbacks,3.84,3.73,3.3,502.0
110,Jace Fry,White Sox,3.59,3.74,0.5,242.0
111,Richard Rodriguez,Pirates,3.78,3.74,0.3,189.0
112,Jack Flaherty,Cardinals,3.68,3.74,2.8,470.0
113,Nathan Eovaldi,,3.76,3.75,3.0,432.0
114,Luke Gregerson,Cardinals,3.76,3.75,0.3,159.0
115,Aaron Loup,,3.59,3.75,0.1,48.0
116,James Hoyt,Indians,3.75,3.75,0.2,87.0
117,Dallas Keuchel,,3.69,3.76,3.2,461.0
118,Chris Devenski,Astros,3.82,3.77,0.2,104.0
119,Stephen Villines,Mets,3.73,3.77,0.0,23.0
120,Shane Bieber,Indians,3.86,3.78,2.2,341.0
121,Luis Garcia,Phillies,3.75,3.78,0.2,97.0
122,Austin Pruitt,Rays,3.78,3.78,0.2,109.0
123,Max Fried,Braves,3.56,3.79,0.3,86.0
124,Chaz Roe,Rays,3.71,3.8,0.3,168.0
125,Scott Oberg,Rockies,3.96,3.8,0.4,154.0
126,Robert Stock,Padres,3.77,3.81,0.2,122.0
127,Kelvin Herrera,,3.87,3.81,0.1,71.0
128,J.A. Happ,,3.82,3.81,3.3,494.0
129,Zack Wheeler,Mets,3.89,3.82,2.7,434.0
130,Juan Nicasio,Mariners,3.79,3.82,0.3,172.0
131,Grant Dayton,Braves,3.74,3.82,0.1,49.0
132,Wade Davis,Rockies,3.96,3.82,0.5,309.0
133,Silvino Bracho,Diamondbacks,3.87,3.82,0.4,144.0
134,Nate Jones,White Sox,3.77,3.83,0.6,310.0
135,Jose Leclerc,Rangers,3.64,3.83,0.7,273.0
136,Bryse Wilson,Braves,3.79,3.84,0.2,64.0
137,Ryan Helsley,Cardinals,3.73,3.84,0.1,49.0
138,Tommy Hunter,Phillies,3.88,3.84,0.4,184.0
139,Joey Lucchesi,Padres,3.82,3.84,2.3,437.0
140,Mike Zagurski,,3.72,3.84,0.0,23.0
