Name,Tm,Pos,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,Bats,Thr,Signed,Signed From,Video
"Parker Meadows","DET","CF",0,18,"","40+",2022,"High","19.0","6' 4""","195","L","R","2018 Draft Rnd 2 (DET)","Grayson HS (GA)",""
"Elvin Rodriguez","DET","RHP",0,19,"","40+",2021,"Med","20.6","6' 3""","160","R","R","2014 J2 (LAA)","Dominican Republic",""
"Gregory Soto","DET","LHP",0,20,"&darr;","40+",2021,"High","23.8","6' 1""","240","L","L","2012 J2 (DET)","Dominican Republic",""
"Anthony Castro","DET","RHP",0,21,"","40+",2020,"Med","23.6","6' 2""","180","R","R","2011 J2 (DET)","Venezuela",""
"Greg Deichmann","OAK","RF",0,15,"","40",2020,"Med","23.4","6' 2""","190","L","R","2017 Draft Rnd 2 (OAK)","LSU","27ocOVLfiqE"
"Marcos Brito","OAK","2B",0,16,"","40",2022,"High","18.7","6' 0""","160","S","R","2016 J2 (OAK)","Dominican Republic","I8kqkK1HD_k"
"Alexander Campos","OAK","SS",0,17,"","40",2023,"Med","18.7","6' 0""","178","R","R","2016 J2 (SEA)","Venezuela",""
"Kevin Merrell","OAK","2B",0,18,"","40",2021,"High","22.9","6' 1""","180","L","R","2017 Draft Rnd 1 (OAK)","South Florida","p8Lm9rfHBqg"
"Lawrence Butler","OAK","RF",0,19,"","40",2023,"High","18.3","6' 4""","200","L","R","2018 Draft Rnd 6 (OAK)","Westlake HS (WV)",""
"Dalton Sawyer","OAK","LHP",0,20,"","40",2019,"Med","25.0","6' 5""","210","L","L","2016 Draft Rnd 9 (OAK)","Minnesota","BjwR7ALUOBo"
"Miguel Romero","OAK","RHP",0,21,"","40",2019,"Low","24.6","6' 2""","180","R","R","2016 J2 (OAK)","Cuba","hUWwQN8G2Js"
"Hogan Harris","OAK","LHP",0,22,"","40",2020,"High","21.9","6' 3""","230","R","L","2018 Draft Rnd 3 (OAK)","Louisiana",""
"Kyle Finnegan","OAK","RHP",0,23,"","40",2018,"Low","27.2","6' 2""","175","R","R","2013 Draft Rnd 6 (OAK)","Texas State",""
"Blayne Enlow","MIN","RHP",0,16,"","40",2022,"High","19.6","6' 3""","170","R","R","2017 Draft Rnd 3 (MIN)","St. Amat HS (LA)","aZJ78IL6QJ8"
"Wyatt Marks","OAK","RHP",0,24,"&uarr;","40",2019,"Med","23.4","6' 3""","205","R","R","2017 Draft Rnd 13 (OAK)","UL-Lafayette",""
"Ryan Jeffers","MIN","C",0,17,"","40",2021,"Med","21.7","6' 4""","225","R","R","2018 Draft Rnd 2 (MIN)","UNC Wilmington",""
"Cole Sands","MIN","RHP",0,18,"","40",2021,"High","21.3","6' 3""","220","R","R","2018 Draft Rnd 5 (MIN)","Florida State",""
"DaShawn Keirsey","MIN","CF",0,19,"","40",2022,"High","21.5","6' 2""","195","L","L","2018 Draft Rnd 4 (MIN)","Utah",""
"Antonio Cabello","NYY","CF",0,17,"&uarr;","40",2023,"High","18.0","5' 10""","160","R","R","2017 J2 (NYY)","Venezuela",""
"Luis Rijo","MIN","RHP",0,20,"","40",2022,"High","20.2","6' 1""","200","R","R","2015 J2 (NYY)","Venezuela",""
"Trevor Stephan","NYY","RHP",0,18,"&uarr;","40",2019,"Med","23.0","6' 4""","210","R","R","2017 Draft Rnd 3 (NYY)","Arkansas","hdrgIwlwXuE"
"Gabriel Maciel","MIN","CF",0,21,"","40",2022,"Med","19.8","5' 10""","170","S","R","2015 J2 (ARI)","Brazil",""
"Matt Sauer","NYY","RHP",0,19,"&darr;","40",2021,"High","19.8","6' 4""","195","R","R","2017 Draft Rnd 2 (NYY)","Righetti HS (CA)",""
"Jaylin Davis","MIN","RF",0,22,"","40",2020,"Med","24.4","6' 1""","190","R","R","2015 Draft Rnd 24 (MIN)","Appalachian State","TFPeuDvCl5o"
"Ryder Green","NYY","RF",0,20,"","40",2023,"High","18.2","6' 2""","195","R","R","2018 Draft Rnd 3 (NYY)","Karns HS (TN)","0zwCZ6knA-s"
"Lewin Diaz","MIN","1B",0,23,"","40",2021,"High","22.0","6' 3""","180","L","L","2013 J2 (MIN)","Dominican Republic","b6BzJGKnQbI"
"Domingo Acevedo","NYY","RHP",0,21,"&darr;","40",2018,"High","24.7","6' 7""","242","R","R","2012 J2 (NYY)","Dominican Republic","3yyTjdYwHiE"
"Lewis Thorpe","MIN","LHP",0,24,"&uarr;","40",2019,"Med","23.0","6' 1""","160","R","L","2012 J2 (MIN)","Australia",""
"Josh Breaux","NYY","C",0,22,"","40",2021,"High","20.8","6' 1""","220","R","R","2018 Draft Rnd 2 (NYY)","McLennan JC (TX)","eKBeym1c65Q"
"Zack Littell","MIN","RHP",0,25,"","40",2019,"Low","23.1","6' 4""","220","R","R","2013 Draft Rnd 11 (SEA)","Eastern Alamance HS (NC)",""
"Chance Adams","NYY","RHP",0,23,"&darr;","40",2018,"Med","24.3","6' 0""","215","R","R","2015 Draft Rnd 5 (NYY)","Dallas Baptist","If_SFx0CQxM"
"Tyler Jay","MIN","LHP",0,26,"&uarr;","40",2019,"High","24.6","6' 1""","185","L","L","2015 Draft Rnd 1 (MIN)","Illinois",""
"Travis MacGregor","PIT","RHP",0,12,"&uarr;","40",2021,"High","21.1","6' 3""","180","R","R","2016 Draft Rnd 2 (PIT)","East Lake HS (FL)",""
"Garrett Whitlock","NYY","RHP",0,24,"&uarr;","40",2020,"Med","22.4","6' 5""","190","R","R","2017 Draft Rnd 18 (NYY)","UAB",""
"Devin Smeltzer","MIN","LHP",0,27,"","40",2019,"Low","23.2","6' 3""","195","R","L","2016 Draft Rnd 5 (LAD)","San Jacinto JC (TX)","sO68TM2v_iE"
"Jared Oliva","PIT","CF",0,13,"&uarr;","40",2021,"High","23.0","6' 3""","187","R","R","2017 Draft Rnd 7 (PIT)","Arizona",""
"Alexander Vargas","NYY","SS",0,25,"","40",2024,"High","16.7","6' 0""","150","S","R","2018 J2 (NYY)","Cuba","1-63oQOd8s0"
"Jorge Alcala","MIN","RHP",0,28,"","40",2020,"Med","23.3","6' 3""","180","R","R","2014 J2 (HOU)","Dominican Republic",""
"Stephen Alemais","PIT","SS",0,14,"","40",2020,"Med","23.6","6' 0""","190","R","R","2016 Draft Rnd 3 (PIT)","Tulane",""
"Oswaldo Cabrera","NYY","2B",0,26,"&uarr;","40",2021,"Med","19.7","5' 10""","145","S","R","2015 J2 (NYY)","Venezuela",""
"Luis Arraez","MIN","2B",0,29,"&uarr;","40",2019,"Med","21.6","5' 10""","155","L","R","2013 J2 (MIN)","Venezuela",""
"Jason Martin","PIT","RF",0,15,"","40",2019,"Med","23.2","5' 11""","190","L","R","2013 Draft Rnd 8 (HOU)","Orange Lutheran HS (CA)",""
"Nolan Martinez","NYY","RHP",0,27,"","40",2022,"High","20.4","6' 2""","165","R","R","2016 Draft Rnd 3 (NYY)","Culver City HS (CA)",""
"Charles Mack","MIN","2B",0,30,"","40",2023,"Med","19.0","5' 11""","190","L","R","2018 Draft Rnd 6 (MIN)","Williamsville East HS",""
"Bryan Reynolds","PIT","LF",0,16,"&darr;","40",2020,"High","23.8","6' 3""","205","S","R","2016 Draft Rnd 2 (SFG)","Vanderbilt","8Nr61qxya9M"
"Raimfer Salinas","NYY","CF",0,28,"&uarr;","40",2023,"High","17.9","6' 0""","175","R","R","2017 J2 (NYY)","Venezuela",""
"Ryan Costello","MIN","1B",0,31,"","40",2020,"Med","22.4","6' 2""","200","L","R","2017 Draft Rnd 31 (SEA)","Central Connecticut State",""
"Braxton Ashcraft","PIT","RHP",0,17,"","40",2022,"High","19.1","6' 5""","195","L","R","2018 Draft Rnd 2 (PIT)","Robinson HS (TX)","7afqKX8xrHQ"
"Dermis Garcia","NYY","1B/RHP",0,29,"&darr;","40",2021,"High","20.8","6' 3""","200","R","R","2014 J2 (NYY)","Dominican Republic","d-BKTy1j3vI"
"Landon Leach","MIN","RHP",0,32,"","40",2023,"High","19.3","6' 4""","220","R","R","2017 Draft Rnd 2 (MIN)","Pickering HS (CAN)",""
"Conner Uselton","PIT","RF",0,18,"","40",2022,"High","20.5","6' 3""","185","R","R","2017 Draft Rnd 2 (PIT)","Southmoore HS (OK)","1Okr7H06QIQ"
"Antonio Gomez","NYY","C",0,30,"","40",2024,"High","17.0","6' 2""","205","R","R","2018 J2 (NYY)","Venezuela","UIUzPZR_djw"
"Andrew Bechtold","MIN","3B",0,33,"","40",2021,"Med","22.6","6' 1""","185","R","R","2017 Draft Rnd 5 (MIN)","Chipola JC (FL)",""
"Will Craig","PIT","1B",0,19,"","40",2019,"Med","24.0","6' 3""","235","R","R","2016 Draft Rnd 1 (PIT)","Wake Forest",""
"Ronny Rojas","NYY","2B",0,31,"&uarr;","40",2022,"High","17.2","6' 1""","180","S","R","2017 J2 (NYY)","Dominican Republic",""
"Misael Urbina","MIN","CF",0,34,"","40",2023,"Med","16.2","6' 0""","175","R","R","2018 J2 (MIN)","Venezuela","rflqhRGiZ0I"
"Nick Burdi","PIT","RHP",0,20,"","40",2018,"High","25.8","6' 5""","220","R","R","2014 Draft Rnd 2 (MIN)","Louisville","a4s7JnQDc9k"
"Ryley Widell","MIN","LHP",0,35,"","40",2022,"Med","21.4","6' 3""","180","L","L","2017 Draft Rnd 7 (MIN)","Central Arizona JC",""
"Braeden Ogle","PIT","LHP",0,21,"","40",2022,"High","21.3","6' 2""","170","L","L","2016 Draft Rnd 4 (PIT)","Jensen Beach HS (FL)",""
"Zack Granite","MIN","CF",0,36,"","40",2018,"Low","26.2","6' 1""","175","L","L","2013 Draft Rnd 1 (MIN)","Seton Hall",""
"Ji-Hwan Bae","PIT","SS",0,22,"","40",2022,"High","19.3","6' 1""","170","L","R","2017 J2 (PIT)","South Korea",""
"Alex Robinson","MIN","LHP",0,37,"","40",2019,"High","24.3","6' 3""","217","L","L","2015 Draft Rnd 5 (MIN)","Maryland",""
"Alex Jackson","ATL","C",0,15,"&darr;","40",2020,"High","22.9","6' 2""","220","R","R","2014 Draft Rnd 1 (SEA)","Rancho Bernardo HS (CA)","LSnvdcH--dg"
"J.T. Brubaker","PIT","RHP",0,23,"","40",2018,"Med","25.0","6' 4""","175","R","R","2015 Draft Rnd 6 (PIT)","Akron",""
"Tucker Davidson","ATL","LHP",0,16,"&darr;","40",2021,"High","22.6","6' 2""","215","L","L","2016 Draft Rnd 19 (ATL)","Midland JC (TX)",""
"Clay Holmes","PIT","RHP",0,24,"","40",2018,"Med","25.6","6' 5""","230","R","R","2011 Draft Rnd 9 (PIT)","Slocomb HS (AL)","mAZ3PKMP6mU"
"Tristan Beck","ATL","RHP",0,17,"","40",2021,"High","22.4","6' 4""","190","R","R","2018 Draft Rnd 4 (ATL)","Stanford","XrgMm2JffMA"
"Josh Graham","ATL","RHP",0,18,"","40",2019,"Low","25.1","6' 1""","215","R","R","2015 Draft Rnd 4 (ATL)","Oregon",""
"Jacob Lindgren","ATL","LHP",0,19,"","40",2019,"High","25.7","5' 11""","210","L","L","2014 Draft Rnd 2 (NYY)","Mississippi State","0pxjqMUQT2Y"
"Patrick Weigel","ATL","RHP",0,20,"","40",2018,"High","24.3","6' 6""","230","R","R","2015 Draft Rnd 7 (ATL)","Houston",""
"Freddy Tarnok","ATL","RHP",0,21,"&uarr;","40",2022,"High","20.0","6' 3""","185","R","R","2017 Draft Rnd 3 (ATL)","Riverview HS (FL)",""
"Huascar Ynoa","ATL","RHP",0,22,"&uarr;","40",2021,"High","20.5","6' 3""","175","R","R","2014 J2 (MIN)","Dominican Republic","6QvHekmFzts"
"Trey Riley","ATL","RHP",0,23,"","40",2022,"High","20.6","6' 2""","180","L","R","2018 Draft Rnd 5 (ATL)","Logan JC","tpwu75XB6II"
"Ricardo Sanchez","ATL","LHP",0,24,"&darr;","40",2020,"High","21.6","5' 11""","170","L","L","2013 J2 (LAA)","Venezuela","wzMiwKP5o3U"
"Adam McCreery","ATL","LHP",0,25,"","40",2019,"Low","25.9","6' 8""","195","L","L","2014 Draft Rnd 22 (LAA)","Azusa Pacific","vCcEV1ZOxew"
"Drew Lugbauer","ATL","C",0,26,"&darr;","40",2020,"Med","22.2","6' 3""","220","L","R","2017 Draft Rnd 11 (ATL)","Michigan",""
"Jasseel De La Cruz","ATL","RHP",0,27,"&uarr;","40",2021,"High","21.4","6' 1""","175","R","R","2014 J2 (ATL)","Dominican Republic",""
"Daniel Diaz","BOS","3B",0,9,"","40",2023,"High","17.9","6' 1""","170","R","R","2017 J2 (BOS)","Venezuela",""
"Mike Shawaryn","BOS","RHP",0,10,"","40",2019,"Med","24.2","6' 3""","225","R","R","2016 Draft Rnd 5 (BOS)","Maryland","5fWiIrMG60g"
"Josh Ockimey","BOS","1B",0,11,"","40",2020,"High","23.1","6' 1""","215","L","R","2014 Draft Rnd 5 (BOS)","Neumann-Goretti HS (PA)","cSQgarI_0lw"
"Bobby Dalbec","BOS","3B",0,12,"","40",2020,"High","23.4","6' 4""","225","R","R","2016 Draft Rnd 4 (BOS)","Arizona",""
"Cole Brannen","BOS","CF",0,13,"","40",2022,"High","20.3","6' 0""","170","L","R","2017 Draft Rnd 2 (BOS)","Westfield HS (GA)","1Kk9ikfUHE0"
"C.J. Chatham","BOS","SS",0,14,"","40",2020,"High","23.9","6' 3""","185","R","R","2016 Draft Rnd 2 (BOS)","Florida Atlantic","o51fk4q6VrI"
"Durbin Feltman","BOS","RHP",0,15,"","40",2019,"Med","21.6","6' 1""","190","R","R","2018 Draft Rnd 3 (BOS)","TCU","l9o5I-rLP60"
"Jhonathan Diaz","BOS","LHP",0,16,"&uarr;","40",2019,"Med","22.2","6' 0""","190","L","L","2013 J2 (BOS)","Venezuela",""
"Lyon Richardson","CIN","RHP",0,17,"","40",2022,"High","18.8","6' 2""","185","S","R","2018 Draft Rnd 3 (CIN)","Jensen Beach HS (FL)","A6viDU8LwwU"
"Alex Scherff","BOS","RHP",0,17,"","40",2022,"High","20.8","6' 3""","205","S","R","2017 Draft Rnd 5 (BOS)","Prestonwood Christian HS (TX)","gQo53t6hJMk"
"Jimmy Herget","CIN","RHP",0,18,"","40",2018,"Low","25.2","6' 3""","180","R","R","2015 Draft Rnd 6 (CIN)","South Florida",""
"Joan Martinez","BOS","RHP",0,18,"","40",2021,"High","22.2","6' 3""","195","R","R","2015 J2 (BOS)","Dominican Republic",""
"Eli Morgan","CLE","RHP",0,16,"","40",2020,"Med","22.5","5' 10""","190","R","R","2017 Draft Rnd 8 (CLE)","Gonzaga",""
"Jose Lopez","CIN","RHP",0,19,"","40",2018,"Low","25.2","6' 1""","185","R","R","2014 Draft Rnd 6 (CIN)","Seton Hall",""
"Roniel Raudes","BOS","RHP",0,19,"","40",2020,"High","20.8","6' 1""","160","R","R","2014 J2 (BOS)","Nicaragua",""
"Richard Palacios","CLE","2B",0,17,"","40",2021,"Med","21.5","5' 9""","160","L","R","2018 Draft Rnd 3 (CLE)","Towson",""
"Josiah Gray","CIN","RHP",0,20,"&uarr;","40",2021,"High","20.9","6' 1""","210","R","R","2018 Draft Rnd 2 (CIN)","LeMoyne",""
"Bobby Poyner","BOS","LHP",0,20,"","40",2018,"Med","25.9","6' 0""","205","L","L","2015 Draft Rnd 14 (BOS)","Florida",""
"Tyler Freeman","CLE","SS",0,18,"&uarr;","40",2022,"Med","19.5","6' 0""","170","R","R","2017 Draft Rnd 2 (CLE)","Etiwanda HS (CA)",""
"Jacob Heatherly","CIN","LHP",0,21,"","40",2021,"Med","20.5","6' 2""","208","L","L","2017 Draft Rnd 3 (CIN)","Cullman HS (AL)","qx-Qznvt_5k"
"Aaron Bracho","CLE","SS",0,19,"","40",2023,"High","17.5","5' 11""","175","S","R","2017 J2 (CLE)","Venezuela",""
"Miguel Hernandez","CIN","SS",0,22,"","40",2023,"High","19.6","6' 0""","170","R","R","2015 J2 (CIN)","Venezuela","n6Hc7GlV8mA"
"Eric Haase","CLE","C",0,20,"&darr;","40",2019,"Med","25.9","5' 10""","180","R","R","2011 Draft Rnd 7 (CLE)","Divine Child HS (MI)",""
"Bren Spillane","CIN","1B",0,23,"","40",2021,"Med","22.1","6' 5""","210","R","R","2018 Draft Rnd 3 (CIN)","Illinois",""
"Aaron Civale","CLE","RHP",0,21,"","40",2020,"Low","23.4","6' 2""","215","R","R","2016 Draft Rnd 3 (CLE)","Northeastern",""
"Sam Hentges","CLE","LHP",0,22,"","40",2021,"High","22.3","6' 6""","245","L","L","2014 Draft Rnd 4 (CLE)","Mounds View HS (MN)",""
"Nick Sandlin","CLE","RHP",0,23,"","40",2020,"High","21.8","5' 11""","170","R","R","2018 Draft Rnd 2 (CLE)","Southern Mississippi","ZrCL8mY_wUU"
"Quentin Holmes","CLE","CF",0,24,"","40",2023,"High","19.3","6' 3""","175","R","R","2016 Draft Rnd 2 (CLE)","McClancy HS (NY)","uMA6Z9tYqqI"
"Logan Ice","CLE","C",0,25,"","40",2021,"Med","23.5","5' 10""","195","S","R","2016 Draft Rnd 2 (CLE)","Oregon State","YB29dANPeAY"
"Zac Gallen","MIA","RHP",0,14,"","40",2019,"Low","23.3","6' 1""","185","R","R","2016 Draft Rnd 3 (STL)","North Carolina",""
"Tahnaj Thomas","CLE","RHP",0,26,"&uarr;","40",2023,"High","19.4","6' 4""","190","R","R","2016 J2 (CLE)","Bahamas",""
"Joe Dunand","MIA","3B",0,15,"&uarr;","40",2021,"High","23.1","6' 2""","205","R","R","2017 Draft Rnd 2 (MIA)","North Carolina State","qgmZPFsFqyw"
"Ignacio Feliz","CLE","RHP",0,27,"&uarr;","40",2023,"High","19.1","6' 1""","180","R","R","2016 J2 (CLE)","Dominican Republic",""
"Osiris Johnson","MIA","CF",0,16,"","40",2023,"High","18.1","6' 1""","185","S","R","2018 Draft Rnd 2 (MIA)","Encinal HS","V3s25q8PgR0"
"Sam Haggerty","CLE","2B",0,28,"","40",2020,"Med","24.5","5' 11""","175","S","R","2015 Draft Rnd 24 (CLE)","New Mexico",""
"Brian Miller","MIA","CF",0,17,"","40",2020,"Med","23.2","6' 0""","177","L","R","2017 Draft Rnd 1 (MIA)","North Carolina","-r9X5zhHbNQ"
"Will Banfield","MIA","C",0,18,"","40",2023,"High","19.0","6' 1""","200","R","R","2018 Draft Rnd 2 (MIA)","Brookwood HS","KI7Z1Rzt2UM"
"Christopher Torres","MIA","SS",0,19,"","40",2021,"High","20.8","5' 11""","170","S","R","2014 J2 (SEA)","Dominican Republic","FmEjQsxE-rc"
"Jordan Yamamoto","MIA","RHP",0,20,"","40",2020,"Med","22.5","6' 0""","185","R","R","2014 Draft Rnd 12 (MIL)","St. Louis HS (HI)",""
"Colton Hock","MIA","RHP",0,21,"","40",2020,"Med","22.7","6' 4""","220","R","R","2017 Draft Rnd 4 (MIA)","Stanford","KGJYwGxFMH4"
"Garrett Cooper","MIA","1B",0,22,"","40",2018,"Med","27.9","6' 6""","230","R","R","2013 Draft Rnd 6 (MIL)","Auburn",""
"Tristan Pompey","MIA","LF",0,23,"","40",2021,"High","21.6","6' 4""","200","S","R","2018 Draft Rnd 3 (MIA)","Kentucky",""
"Robert Dugger","MIA","RHP",0,24,"","40",2020,"Med","23.4","6' 2""","180","R","R","2016 Draft Rnd 18 (SEA)","Texas Tech",""
"Brayan Hernandez","MIA","CF",0,25,"","40",2021,"High","21.2","6' 2""","175","R","R","2014 J2 (SEA)","Dominican Republic","ndl-wG3DJac"
"Braxton Lee","MIA","CF",0,26,"&darr;","40",2019,"Med","25.2","5' 10""","185","L","R","2014 Draft Rnd 12 (TB)","Ole Miss","cojxmsi0ffU"
"Jean Carmona","BAL","SS",0,14,"","40",2022,"High","19.0","6' 1""","183","S","R","2016 J2 (MIL)","Dominican Republic","4i402sfEdFA"
"Jordan Holloway","MIA","RHP",0,27,"","40",2020,"Med","22.4","6' 4""","190","R","R","2014 Draft Rnd 20 (MIA)","Ralston Valley HS (CO)",""
"Matthias Dietz","BAL","RHP",0,15,"","40",2020,"Med","23.1","6' 5""","220","R","R","2016 Draft Rnd 2 (BAL)","Logan JC (IL)",""
"Brenan Hanifee","BAL","RHP",0,16,"","40",2021,"High","20.5","6' 5""","180","R","R","2016 Draft Rnd 4 (BAL)","Ashby HS (VA)",""
"Dean Kremer","BAL","RHP",0,17,"&uarr;","40",2019,"Med","22.8","6' 3""","180","R","R","2016 Draft Rnd 14 (LAD)","UNLV",""
"Cadyn Grenier","BAL","SS",0,18,"","40",2020,"Med","22.0","5' 10""","185","R","R","2018 Draft Rnd 1 (BAL)","Oregon State","8Q0_6YnDInk"
"D.J. Stewart","BAL","LF",0,19,"","40",2019,"Med","24.9","6' 0""","230","L","L","2015 Draft Rnd 1 (BAL)","Florida State","-Ssq2Nfrjfk"
"Jacob Gonzalez","SFG","3B",0,10,"","40",2023,"High","20.4","6' 3""","190","R","R","2017 Draft Rnd 2 (SFG)","Chaparral HS (AZ)",""
"Cody Carroll","BAL","RHP",0,20,"","40",2019,"Med","26.1","6' 5""","210","R","R","2015 Draft Rnd 22 (NYY)","Southern Mississippi",""
"Tyler Beede","SFG","RHP",0,11,"&darr;","40",2018,"Med","25.5","6' 2""","190","R","R","2015 Draft Rnd 1 (SFG)","Vanderbilt",""
"Keegan Akin","BAL","LHP",0,21,"&uarr;","40",2020,"Med","23.6","6' 0""","225","L","L","2016 Draft Rnd 2 (BAL)","Western Michigan","RKnbSobB0dk"
"C.J. Hinojosa","SFG","3B",0,12,"","40",2019,"Low","24.3","5' 10""","175","R","R","2015 Draft Rnd 11 (SFG)","Texas",""
"Luis Gonzalez","BAL","LHP",0,22,"","40",2018,"Low","26.8","6' 2""","170","L","L","2009 J2 (PHI)","Dominican Republic",""
"Manuel Geraldo","SFG","SS",0,13,"&uarr;","40",2020,"Low","22.1","6' 1""","210","R","R","2013 J2 (SFG)","Dominican Republic",""
"Lamar Sparks","BAL","CF",0,23,"","40",2022,"High","20.1","6' 2""","170","R","R","2017 Draft Rnd 5 (BAL)","Seven Lakes HS (TX)",""
"Jake Wong","SFG","RHP",0,14,"","40",2022,"Med","22.2","6' 1""","210","R","R","2018 Draft Rnd 3 (SFG)","Grand Canyon",""
"Gray Fenter","BAL","RHP",0,24,"","40",2021,"High","22.8","6' 0""","200","R","R","2015 Draft Rnd 7 (BAL)","West Memphis HS (TN)",""
"Aramis Garcia","SFG","C",0,15,"","40",2019,"Low","25.8","6' 2""","220","R","R","2014 Draft Rnd 2 (SFG)","Florida International","QmGo_0jeFXg"
"Michael Baumann","BAL","RHP",0,25,"","40",2021,"Med","23.2","6' 4""","225","R","R","2017 Draft Rnd 3 (BAL)","Jacksonville",""
"Michael Gigliotti","KCR","CF",0,11,"","40",2021,"Med","22.7","6' 1""","180","L","L","2017 Draft Rnd 4 (KCR)","Lipscomb",""
"Ray Black","SFG","RHP",0,16,"&uarr;","40",2018,"High","28.4","6' 5""","225","R","R","2011 Draft Rnd 7 (SFG)","Pittsburgh",""
"Evan Phillips","BAL","RHP",0,26,"&uarr;","40",2018,"Med","24.2","6' 2""","215","R","R","2015 Draft Rnd 17 (ATL)","UNC Wilmington",""
"Kelvin Gutierrez","KCR","3B",0,12,"","40",2019,"Low","24.2","6' 3""","185","R","R","2012 J2 (WAS)","Dominican Republic","6mLb50yVjwM"
"Logan Webb","SFG","RHP",0,17,"","40",2020,"High","22.0","6' 2""","220","R","R","2014 Draft Rnd 4 (SFG)","Rocklin HS (CA)",""
"Zach Pop","BAL","RHP",0,27,"","40",2019,"High","22.1","6' 4""","220","R","R","2017 Draft Rnd 7 (LAD)","Kentucky",""
"Blake Perkins","KCR","CF",0,13,"","40",2020,"Med","22.7","6' 1""","165","S","R","2016 Draft Rnd 2 (WAS)","Verrado HS (AZ)","97hbiPICZPQ"
"Camilo Doval","SFG","RHP",0,18,"","40",2021,"High","21.4","6' 2""","185","R","R","2015 J2 (SFG)","Dominican Republic","N5S-D2ZA5lQ"
"Josh Rogers","BAL","LHP",0,28,"&uarr;","40",2019,"Low","24.3","6' 3""","220","L","L","2015 Draft Rnd 11 (NYY)","Louisville",""
"Richard Lovelady","KCR","LHP",0,14,"","40",2019,"Med","23.3","6' 0""","175","L","L","2016 Draft Rnd 10 (KCR)","Kennesaw State",""
"Miguel Gomez","SFG","3B",0,19,"","40",2018,"Low","25.9","5' 9""","206","R","R","2011 J2 (SFG)","Dominican Republic",""
"Alex Wells","BAL","LHP",0,29,"&uarr;","40",2020,"Low","21.7","6' 1""","190","L","L","2015 J2 (BAL)","Australia",""
"Emmanuel Rivera","KCR","3B",0,15,"","40",2021,"Med","22.4","6' 2""","195","R","R","2015 Draft Rnd 19 (KCR)","Universidad Interamericana HS (PR)",""
"Yasel Antuna","WSN","SS",0,8,"","40",2021,"High","19.0","6' 0""","170","S","R","2016 J2 (WAS)","Dominican Republic",""
"Sandro Fabian","SFG","RF",0,20,"&darr;","40",2021,"High","20.7","6' 1""","180","R","R","2014 J2 (SFG)","Dominican Republic","P5N_yzeiS8c"
"Breyvic Valera","BAL","SS",0,30,"","40",2018,"Low","26.8","5' 11""","180","S","R","2009 J2 (STL)","Venezuela",""
"Gabriel Cancel","KCR","2B",0,16,"&uarr;","40",2021,"Med","21.9","6' 1""","185","R","R","2015 Draft Rnd 7 (KCR)","Belen HS (PR)",""
"Tim Cate","WSN","LHP",0,9,"","40",2021,"High","21.1","6' 0""","170","L","L","2018 Draft Rnd 2 (WAS)","Connecticut",""
"Diego Rincones","SFG","RF",0,21,"","40",2020,"Med","19.4","6' 0""","175","R","R","2015 J2 (SFG)","Venezuela",""
"D.J. Snelten","BAL","LHP",0,31,"","40",2018,"Med","26.5","6' 6""","240","L","L","2013 Draft Rnd 9 (SFG)","Minnesota",""
"Josh Staumont","KCR","RHP",0,17,"","40",2018,"Med","24.9","6' 3""","200","R","R","2015 Draft Rnd 2 (KCR)","Azusa Pacific",""
"Anderson Franco","WSN","3B",0,10,"","40",2020,"Med","21.2","6' 3""","190","R","R","2013 J2 (WAS)","Dominican Republic","0-RF8USinsU"
"Kelvin Beltre","SFG","3B",0,22,"","40",2021,"Med","22.1","5' 11""","170","R","R","2013 J2 (SFG)","Dominican Republic",""
"Chris Lee","BAL","LHP",0,32,"&darr;","40",2018,"Low","26.2","6' 3""","180","L","L","2011 Draft Rnd 4 (HOU)","Santa Fe JC (FL)",""
"Foster Griffin","KCR","LHP",0,18,"&darr;","40",2019,"Low","23.3","6' 3""","200","R","L","2014 Draft Rnd 1 (KCR)","First Academy HS (FL)",""
"Gage Canning","WSN","CF",0,11,"","40",2021,"Med","21.6","5' 11""","178","L","R","2018 Draft Rnd 5 (WAS)","Arizona State","eGtbuLx_2jg"
"Melvin Adon","SFG","RHP",0,23,"","40",2020,"High","24.4","6' 3""","235","R","R","2014 J2 (SFG)","Dominican Republic","6ghLcOh-UlI"
"Scott Blewett","KCR","RHP",0,19,"","40",2020,"Low","22.6","6' 6""","210","R","R","2014 Draft Rnd 2 (KCR)","Baker HS (NY)",""
"Telmito Agustin","WSN","LF",0,12,"&uarr;","40",2020,"Med","22.1","5' 10""","160","L","L","2013 J2 (WAS)","U.S. Virgin Islands",""
"Meibrys Viloria","KCR","C",0,20,"","40",2021,"Med","21.7","5' 11""","200","L","R","2013 J2 (KCR)","Colombia",""
"Andruw Monasterio","WSN","SS",0,13,"","40",2020,"Low","21.4","6' 0""","175","R","R","2013 J2 (CHC)","Venezuela",""
"Yefri Del Rosario","KCR","RHP",0,21,"","40",2022,"High","19.1","6' 2""","180","R","R","2016 J2 (ATL)","Dominican Republic",""
"KJ Harrison","WSN","C",0,14,"","40",2020,"High","22.3","6' 0""","208","R","R","2017 Draft Rnd 3 (MIL)","Oregon State","z-yadgX651I"
