Name,Tm,Pos,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,Bats,Thr,Signed,Signed From,Video
"Hans Crouse","TEX","RHP",0,9,"","45",2021,"High","20.2","6' 4""","180","L","R","2017 Draft Rnd 2 (TEX)","Dana Hills HS (CA)","3ehPVLIc5AI"
"Dakota Hudson","STL","RHP",0,4,"&uarr;","45",2018,"Med","24.2","6' 5""","215","R","R","2016 Draft Rnd 1 (STL)","Mississippi State","LUO8ShS6j1Y"
"Edmundo Sosa","STL","SS",0,5,"&uarr;","45",2019,"Low","22.7","6' 0""","198","R","R","2012 J2 (STL)","Panama",""
"Adolis Garcia","STL","CF",0,6,"&darr;","45",2019,"High","25.7","6' 1""","180","R","R","2017 IFA (STL)","Cuba",""
"Justin Williams","STL","LF",0,7,"","45",2018,"Med","23.2","6' 2""","220","L","R","2013 Draft Rnd 2 (ARZ)","Terrebonne HS (LA)","qBdkDD7U1B4"
"Ryan Helsley","STL","RHP",0,8,"","45",2018,"Med","24.3","6' 1""","195","R","R","2015 Draft Rnd 5 (STL)","Northeastern State",""
"Conner Greene","STL","RHP",0,9,"","45",2019,"Med","23.6","6' 3""","185","R","R","2013 Draft Rnd 7 (TOR)","Santa Monica HS (CA)",""
"Gavin Lux","LAD","SS",0,8,"&uarr;","45",2021,"High","21.0","6' 2""","190","L","R","2016 Draft Rnd 1 (LAD)","Indian Trail Academy HS (WI)","UN_FiRAXe4Q"
"Jordan Sheffield","LAD","RHP",0,9,"","45",2019,"High","23.4","5' 10""","190","R","R","2016 Draft Rnd 1 (LAD)","Vanderbilt",""
"Mitchell White","LAD","RHP",0,10,"&darr;","45",2019,"High","23.9","6' 4""","207","R","R","2016 Draft Rnd 2 (LAD)","Santa Clara","-XlwJUJpdH0"
"Jeren Kendall","LAD","CF",0,11,"","45",2021,"High","22.8","6' 0""","190","L","R","2017 Draft Rnd 1 (LAD)","Vanderbilt","r2TAFjALtKw"
"Blake Rutherford","CHW","LF",0,12,"","45",2020,"High","21.5","6' 3""","195","L","R","2016 Draft Rnd 1 (NYY)","Chaminade Prep HS (CA)",""
"Jake Burger","CHW","3B",0,13,"","45",2021,"High","22.6","6' 2""","210","R","R","2017 Draft Rnd 1 (CHW)","Missouri State","s3XP82oUmfQ"
"Nico Hoerner","CHC","2B",0,4,"","45",2020,"Low","21.5","5' 11""","195","R","R","2018 Draft Rnd 1 (CHC)","Stanford","kb8Od-rn8Zs"
"Brendon Little","CHC","LHP",0,5,"","45",2020,"High","22.3","6' 1""","195","L","L","2017 Draft Rnd 1 (CHC)","Florida - Manatee (JC)",""
"Alex Lange","CHC","RHP",0,6,"","45",2020,"High","23.1","6' 3""","197","R","R","2017 Draft Rnd 1 (CHC)","LSU",""
"Jeremiah Estrada","CHC","RHP",0,7,"&uarr;","45",2021,"High","20.0","6' 1""","185","S","R","2017 Draft Rnd 6 (CHC)","Palm Desert HS (CA)","RYcLn14DQEo"
"Freudis Nova","HOU","SS",0,6,"","45",2022,"High","18.8","6' 1""","180","R","R","2016 J2 (HOU)","Dominican Republic",""
"Jose Albertos","CHC","RHP",0,8,"&darr;","45",2022,"High","20.0","6' 1""","185","R","R","2015 J2 (CHC)","Mexico","Kc2h9nC_75o"
"J.B. Bukauskas","HOU","RHP",0,7,"&darr;","45",2019,"High","22.1","6' 0""","196","R","R","2017 Draft Rnd 1 (HOU)","North Carolina",""
"Oscar De La Cruz","CHC","RHP",0,9,"&darr;","45",2020,"High","23.7","6' 6""","240","R","R","2012 J2 (CHC)","Dominican Republic","StTOw1iS6Fk"
"Garrett Hampson","COL","2B",0,3,"&uarr;","45",2018,"Med","24.1","5' 11""","185","R","R","2016 Draft Rnd 3 (COL)","Long Beach State","dAUevwXdsms"
"Colton Welker","COL","3B",0,4,"","45",2021,"Med","21.1","6' 2""","195","R","R","2016 Draft Rnd 4 (COL)","Stoneman Douglas HS (FL)",""
"Ryan Vilade","COL","3B",0,5,"&darr;","45",2022,"High","19.7","6' 2""","194","R","R","2017 Draft Rnd 2 (COL)","Stillwater HS (OK)",""
"Jake Rogers","DET","C",0,8,"","45",2020,"High","23.6","6' 1""","190","R","R","2016 Draft Rnd 3 (HOU)","Tulane",""
"Yency Almonte","COL","RHP",0,6,"","45",2018,"Med","24.4","6' 3""","205","R","R","2012 Draft Rnd 17 (LAA)","Columbia HS (FL)",""
"Mike Gerber","DET","RF",0,9,"","45",2018,"Low","26.3","6' 0""","190","L","R","2014 Draft Rnd 5 (DET)","Creighton","HLLQ7vUfBCo"
"Tyler Nevin","COL","3B",0,7,"","45",2021,"Med","21.5","6' 4""","200","R","R","2015 Draft Rnd 1 (COL)","Poway HS (CA)",""
"Sergio Alcantara","DET","SS",0,10,"&uarr;","45",2019,"Med","22.3","5' 9""","170","S","R","2012 J2 (ARI)","Dominican Republic",""
"Peter Lambert","COL","RHP",0,8,"","45",2019,"Med","21.6","6' 2""","185","R","R","2015 Draft Rnd 2 (COL)","San Dimas HS (CA)","bglOnR4sPGk"
"Willi Castro","DET","SS",0,11,"","45",2020,"Med","21.5","6' 1""","165","S","R","2013 J2 (CLE)","Dominican Republic","ZgzLpSZfVEw"
"Ryan Rolison","COL","LHP",0,9,"","45",2021,"High","21.3","6' 2""","195","R","L","2018 Draft Rnd 1 (COL)","Ole Miss","ayEAfzM9lDo"
"Dawel Lugo","DET","2B",0,12,"","45",2019,"Med","23.9","6' 0""","190","R","R","2011 J2 (ARI)","Dominican Republic",""
"Grant Lavigne","COL","1B",0,10,"","45",2022,"Med","19.2","6' 4""","230","L","R","2018 Draft Rnd 2 (COL)","Bedford HS (NH)","yU9PNba7MjM"
"Wenceel Perez","DET","SS",0,13,"&uarr;","45",2023,"High","19.0","5' 11""","170","S","R","2016 J2 (DET)","Dominican Republic",""
"Kyle Funkhouser","DET","RHP",0,14,"","45",2019,"High","24.7","6' 2""","220","R","R","2016 Draft Rnd 4 (DET)","Louisville","j-b1ZwTMYNY"
"Alex Faedo","DET","RHP",0,15,"","45",2020,"Med","23.0","6' 5""","230","R","R","2017 Draft Rnd 1 (DET)","Florida",""
"Bryan Garcia","DET","RHP",0,16,"","45",2020,"Med","23.6","6' 1""","203","R","R","2016 Draft Rnd 6 (DET)","Miami",""
"Derek Hill","DET","CF",0,17,"&darr;","45",2021,"High","22.9","6' 2""","190","R","R","2014 Draft Rnd 1 (DET)","Elk Grove HS (CA)","ZObNf_dt9Wg"
"Brice Turang","MIL","SS",0,4,"","45",2022,"High","19.0","6' 1""","170","L","R","2018 Draft Rnd 1 (MIL)","Santiago HS (CA)","ImTzgRayiHA"
"Lucas Erceg","MIL","3B",0,5,"&darr;","45",2020,"High","23.5","6' 3""","200","L","R","2016 Draft Rnd 2 (MIL)","Menlo","ZMIOPMWkA5c"
"Trent Grisham","MIL","LF",0,6,"&darr;","45",2021,"High","22.0","6' 0""","205","L","L","2015 Draft Rnd 1 (MIL)","Richland HS (TX)","ToL0111crDA"
"Mauricio Dubon","MIL","SS",0,7,"","45",2019,"Med","24.3","6' 0""","160","R","R","2013 Draft Rnd 26 (BOS)","Capital Christian HS (CA)","MgNeizABbjY"
"Kyler Murray","OAK","CF",0,5,"","45",2021,"High","21.3","5' 11""","190","R","R","2018 Draft Rnd 1 (OAK)","Oklahoma","xmMP-OHxKp8"
"Lazaro Armenteros","OAK","LF",0,6,"&uarr;","45",2021,"High","19.5","6' 0""","182","R","R","2016 J2 (OAK)","Cuba","vc84x37Htwg"
"Austin Beck","OAK","CF",0,7,"","45",2021,"High","20.0","6' 1""","200","R","R","2017 Draft Rnd 1 (OAK)","North Davidson HS (NC)","oAS3Hzfb8Jc"
"Sheldon Neuse","OAK","3B",0,8,"","45",2019,"Med","23.9","6' 0""","195","R","R","2016 Draft Rnd 2 (WAS)","Oklahoma","qqp5Daofb6w"
"James Kaprielian","OAK","RHP",0,9,"&darr;","45",2019,"High","24.7","6' 4""","200","R","R","2015 Draft Rnd 1 (NYY)","UCLA","hFv_4TVJwyE"
"Jeremy Eierman","OAK","3B",0,10,"","45",2021,"Med","22.2","6' 1""","195","R","R","2018 Draft Rnd 2 (OAK)","Missouri State",""
"Nick Allen","OAK","SS",0,11,"","45",2022,"Med","20.1","5' 9""","155","R","R","2017 Draft Rnd 3 (OAK)","Francis Parker HS (CA)","LdNKp8Xs1s0"
"Daulton Jefferies","OAK","RHP",0,12,"","45",2020,"High","23.3","6' 0""","180","L","R","2016 Draft Rnd 1 (OAK)","Cal","ij14-6H6bPU"
